landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
no_oland	Kexp1p2_D120	rep004	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.19810556888349	0.19724374550732	0.0803417128227567	0.0308177185250653	0.345963925447097	0.0308177185250653	0.345963925447097	NA
no_oland	Kexp1p2_D120	rep004	1951	NSmaland_hist_1951proxy	1936	Hjelmseryd	100	0.037798154548851	0.037798154548851	0	0.037798154548851	0.037798154548851	0.037798154548851	0.037798154548851	NA
no_oland	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0150060181527456	0.0122901069741745	0.0106737343759989	0	0.0418711367130042	0	0.0461811476320461	0.0082
no_oland	Kexp1p2_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0238311212989802	0.0128617439405413	0.0362492188110393	0.00359370684916408	0.143915946929768	0.00233754574585795	0.219233772599966	0.0084
no_oland	Kexp1p2_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.0348980156019219	0.0165042981492893	0.0415131810938741	0.0037429294930287	0.149787703374966	0.00300794010243684	0.161474214487251	0.016125
no_oland	Kexp1p2_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.0349885949812428	0.0350316399281956	0.0206660378066105	0.00532143270147625	0.0850054846811828	0.00281531644949183	0.100575349028872	0.1537142857
no_oland	Kexp1p2_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.0323861526809602	0.0153948527933322	0.0360903751549031	0.00377874460613744	0.115037807589036	0.0025881463034878	0.161619302010801	0.061375
no_oland	Kexp1p2_D120	rep005	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.0353852771760279	0.0447753711399066	0.0175071590225628	0.00871853372502984	0.0523835621136261	0.00871853372502984	0.0523835621136261	NA
no_oland	Kexp1p2_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.0328377621278915	0.0149813891824684	0.0511308550246135	0.00182898779640452	0.198149469808496	0	0.208919898051756	0.0082
no_oland	Kexp1p2_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.0274632777299425	0.0121534291426184	0.0482814254780703	0.00114242353765489	0.202819087317678	0	0.215402516807892	0.0084
no_oland	Kexp1p2_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.0178088249239254	0.0145181976024799	0.0109132949743632	0.00458968027495057	0.0480272990507132	0	0.0496596250442048	0.016125
