scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
historical	rep002	2020	NW	20	13	0.0215483346950501	0.0241538716510471	0.0160289529955418	1.1	482501.948717949	328572	1712689	0.00570833571562747	0.00612646255428725	0.00241171062974222	0.00730182579539314	2020
historical	rep002	2020	NE	20	10	0.0575054816007095	0.180671568146866	0.00521132330616046	0.6	1394316.4	767930	9153723	0.00108865031687224	0.00416782940697688	0.00151459417922775	0.0507344076976327	2020
historical	rep002	2020	W	20	12	0.0248495771705514	0.0605756020379505	0.00805788719097384	0.95	379949.625	413296.9	4889124	0.00573733126965974	0.00415010875398708	0.0023363035957431	0.0126258335511615	2020
historical	rep002	2020	E	20	9	0.0183415550242286	0.0351924232170414	0	0.6	710244.333333333	328470.3	2716755	0.00274796660542686	0.00293579209846878	0.00137465731764061	0.0112831390026924	2020
historical	rep002	2020	SE	20	12	0.0180943542392104	0.0329444444115837	0.00901609883362363	0.9	448104.479166667	280415.3	2719057	0.00533902976661678	0.00439189159526111	0.00134165124566997	0.00702178163166257	2020
historical	rep003	1900	NW	20	12	0.0502377749057683	0.113770520536291	0.0101978716726194	0.9	1361199.65277778	856214.65	9346937	0.00403045431859957	0.00548966306432804	0	0.0407176575228407	1900
historical	rep003	1900	NE	20	12	0.0699413178329527	0.220732975105924	0.0111651993025986	0.8	2088072.81944444	1294956.3	19360134	0.00190115077848208	0.00747625621016953	0.00244431125978348	0.0581195995845176	1900
historical	rep003	1900	W	20	10	0.0128239035546101	0.0196485810990801	0.00407631832284013	0.75	336485.066666667	188659.55	1052720	0.00425751987608042	0.00347745735125356	0.00237034780564756	0.00271857852162857	1900
historical	rep003	1900	E	20	13	0.0661714258060121	0.197796005137262	0.0234467584246314	0.95	1812357.23076923	1200932.05	17468160	0.00243785001324013	0.00547798013892352	0.0103359130286259	0.0479196826252225	1900
historical	rep003	1900	SE	20	8	0.00786655991922977	0.0108205742407824	0	0.6	256818.625	113796.45	368897	0.00311820223019918	0.00474835768903059	0	0	1900
