scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
restore_4km	rep002	2140	SE	20	12	0.0114942580384286	0.012560505996081	0.0108734877080595	0.8	278754.111111111	180295.6	521601	0.00348931588207972	0.00665794269261681	0.00134699946373203	0	2140 R4
restore_4km	rep003	2140	NW	20	9	0.015399588329243	0.0298310837389839	0	0.7	383683.666666667	229270.75	2251216	0.00318104314682023	0.00640493143408839	0	0.00581361374833439	2140 R4
restore_4km	rep003	2140	NE	20	9	0.010275442785197	0.0139750291765298	0	0.75	284853.925925926	145282.85	621770	0.00494620560326944	0.00372355801995384	0.00160567916197374	0	2140 R4
restore_4km	rep003	2140	W	20	11	0.0504323767021395	0.183841218575953	0.00970622814067585	0.85	935353.340909091	907918.05	15710668	0.004441358093078	0.00541927627944173	0	0.0405717423296197	2140 R4
restore_4km	rep003	2140	E	20	11	0.0263463138278578	0.0445216908433296	0.0116023793295065	0.75	696525.409090909	456290.1	3159757	0.00226681807985904	0.0047664527947577	0.00584835005019474	0.0134646929030463	2140 R4
restore_4km	rep003	2140	SE	20	15	0.0166414259697383	0.0156704715221428	0.0132854281743095	1.15	291515.316666667	235761.8	767743	0.00681818005743227	0.00784060130601884	0.00198264460628722	0	2140 R4
restore_4km	rep004	2140	NW	20	10	0.0360091519347921	0.0753873133101111	0.00366728681204833	1.05	607920.26	501529.05	4501922	0.00461446630232674	0.0040706627952902	0.00839875022654391	0.0189252726106313	2140 R4
restore_4km	rep004	2140	NE	20	13	0.0411627268815592	0.084422829339245	0.0106272011042069	0.85	789880.538461538	717218.85	6262561	0.00452573133331154	0.00136254829084534	0.00304817440345418	0.0322262728539481	2140 R4
restore_4km	rep004	2140	W	20	11	0.0272606163677992	0.0436839889482773	0.0145891693083662	0.9	592664.757575758	448146.8	3510180	0.00229561478657563	0.00531246169929545	0.0105877363681256	0.00906480351380251	2140 R4
restore_4km	rep004	2140	E	20	11	0.0186928898242804	0.033907685932357	0.00809073573455154	0.8	512074.242424242	306583.2	2806018	0.00418572308295564	0.00383675637366334	0.00342405780847843	0.00724635255918303	2140 R4
restore_4km	rep004	2140	SE	20	10	0.0188191527048736	0.0246104814142837	0.00497239663542078	0.9	423575.866666667	254078.4	1057427	0.00461676208497144	0.00398353668182916	0.00748811990586103	0.00273073403221192	2140 R4
restore_4km	rep005	2140	NW	20	15	0.0268338512918542	0.0355604024462806	0.0165775391678854	1.05	453512.5	446555.1	1984142	0.0055277074624402	0.00565524864720556	0.00248578771091567	0.0131651074712928	2140 R4
restore_4km	rep005	2140	NE	20	10	0.00996565674439221	0.0127892402015955	0.00401780039851068	0.7	279839.1	160909.75	714268	0.00408257297476979	0.00268775718769777	0.00319532658192466	0	2140 R4
