state	scenario	rep	year	region	roh_class	FROH_contribution
2140 SQ	status_quo	rep004	2140	SE	100-250kb	0.0028160989265912
2140 SQ	status_quo	rep005	2140	NW	100-250kb	0.00248801635031092
2140 SQ	status_quo	rep005	2140	NE	100-250kb	0.00378603997843359
2140 SQ	status_quo	rep005	2140	W	100-250kb	0.00464176003322868
2140 SQ	status_quo	rep005	2140	E	100-250kb	0.00616768850945033
2140 SQ	status_quo	rep005	2140	SE	100-250kb	0.00330091708898479
2140 SQ	status_quo	rep008	2140	NW	100-250kb	0.00608539412751712
2140 SQ	status_quo	rep008	2140	NE	100-250kb	0.00532416270172867
2140 SQ	status_quo	rep008	2140	W	100-250kb	0.00650125617272425
2140 SQ	status_quo	rep008	2140	E	100-250kb	0.00436481478870355
2140 SQ	status_quo	rep008	2140	SE	100-250kb	0.00518286231569113
2140 SQ	status_quo	rep009	2140	NW	100-250kb	0.00238408376502569
2140 SQ	status_quo	rep009	2140	NE	100-250kb	0.00497065865823306
2140 SQ	status_quo	rep009	2140	W	100-250kb	0.00442084583037064
2140 SQ	status_quo	rep009	2140	E	100-250kb	0.00533335874447082
2140 SQ	status_quo	rep009	2140	SE	100-250kb	0.00526285575011431
1900	historical	rep001	1900	NW	250-500kb	0.00795012227560455
1900	historical	rep001	1900	NE	250-500kb	0.00189231885874656
1900	historical	rep001	1900	W	250-500kb	0.00354735863879767
1900	historical	rep001	1900	E	250-500kb	0.00652184074354641
1900	historical	rep001	1900	SE	250-500kb	0.00522208172066869
2020	historical	rep001	2020	NW	250-500kb	0.00387428686767393
2020	historical	rep001	2020	NE	250-500kb	0.00489766619878152
2020	historical	rep001	2020	W	250-500kb	0.00436521506576759
2020	historical	rep001	2020	E	250-500kb	0.00166774534879343
2020	historical	rep001	2020	SE	250-500kb	0.0061218399998058
1900	historical	rep002	1900	NW	250-500kb	0.00515370406840058
1900	historical	rep002	1900	NE	250-500kb	0.00437371126925584
1900	historical	rep002	1900	W	250-500kb	0.0049879712868608
1900	historical	rep002	1900	E	250-500kb	0.0028152467238097
1900	historical	rep002	1900	SE	250-500kb	0.00451254284965971
2020	historical	rep002	2020	NW	250-500kb	0.00612646255428725
2020	historical	rep002	2020	NE	250-500kb	0.00416782940697688
2020	historical	rep002	2020	W	250-500kb	0.00415010875398708
2020	historical	rep002	2020	E	250-500kb	0.00293579209846878
2020	historical	rep002	2020	SE	250-500kb	0.00439189159526111
1900	historical	rep003	1900	NW	250-500kb	0.00548966306432804
1900	historical	rep003	1900	NE	250-500kb	0.00747625621016953
1900	historical	rep003	1900	W	250-500kb	0.00347745735125356
1900	historical	rep003	1900	E	250-500kb	0.00547798013892352
1900	historical	rep003	1900	SE	250-500kb	0.00474835768903059
2020	historical	rep003	2020	NW	250-500kb	0.00236797196759006
2020	historical	rep003	2020	NE	250-500kb	0.00394952346111675
2020	historical	rep003	2020	W	250-500kb	0.00639694396983636
2020	historical	rep003	2020	E	250-500kb	0.00359939465712241
2020	historical	rep003	2020	SE	250-500kb	0.00460057797942101
1900	historical	rep004	1900	NW	250-500kb	0.0031018709259865
1900	historical	rep004	1900	NE	250-500kb	0.00738621711265537
1900	historical	rep004	1900	W	250-500kb	0.00450308598121776
1900	historical	rep004	1900	E	250-500kb	0.00488994988995996
1900	historical	rep004	1900	SE	250-500kb	0.00360538848335227
2020	historical	rep004	2020	NW	250-500kb	0.00981916825111823
2020	historical	rep004	2020	NE	250-500kb	0.0030959881443615
2020	historical	rep004	2020	W	250-500kb	0.00851226621947197
2020	historical	rep004	2020	E	250-500kb	0.00461200782642375
2020	historical	rep004	2020	SE	250-500kb	0.00591998931492658
1900	historical	rep005	1900	NW	250-500kb	0.000726342760400502
1900	historical	rep005	1900	NE	250-500kb	0.00433515038460945
1900	historical	rep005	1900	W	250-500kb	0.00764693435027466
1900	historical	rep005	1900	E	250-500kb	0.00285407876388658
1900	historical	rep005	1900	SE	250-500kb	0.00332969313624001
2020	historical	rep005	2020	NW	250-500kb	0.00152132141633623
2020	historical	rep005	2020	NE	250-500kb	0.00251417122840486
2020	historical	rep005	2020	W	250-500kb	0.00318182820635228
2020	historical	rep005	2020	E	250-500kb	0.00428972022905765
2020	historical	rep005	2020	SE	250-500kb	0.00193807956568028
1900	historical	rep008	1900	NW	250-500kb	0.00405917096990335
1900	historical	rep008	1900	NE	250-500kb	0.00303560570364344
1900	historical	rep008	1900	W	250-500kb	0.00363148654792745
1900	historical	rep008	1900	E	250-500kb	0.0063516894197062
1900	historical	rep008	1900	SE	250-500kb	0.00374807047086889
2020	historical	rep008	2020	NW	250-500kb	0.00272170326516073
2020	historical	rep008	2020	NE	250-500kb	0.00587112968878742
2020	historical	rep008	2020	W	250-500kb	0.00530029844141408
2020	historical	rep008	2020	E	250-500kb	0.00461807137833573
2020	historical	rep008	2020	SE	250-500kb	0.00338224564109898
1900	historical	rep009	1900	NW	250-500kb	0.00214870535677624
1900	historical	rep009	1900	NE	250-500kb	0.0061645353591588
1900	historical	rep009	1900	W	250-500kb	0.00574076848754511
1900	historical	rep009	1900	E	250-500kb	0.00619858989879395
1900	historical	rep009	1900	SE	250-500kb	0.00065876824469314
2020	historical	rep009	2020	NW	250-500kb	0.00739133291177702
2020	historical	rep009	2020	NE	250-500kb	0.00567334633536535
2020	historical	rep009	2020	W	250-500kb	0.00827368301227756
2020	historical	rep009	2020	E	250-500kb	0.00415352014754574
2020	historical	rep009	2020	SE	250-500kb	0.00450626237340334
2140 R2	restore_2km	rep001	2140	NW	250-500kb	0.00849879883309164
2140 R2	restore_2km	rep001	2140	NE	250-500kb	0.00141012703037958
2140 R2	restore_2km	rep001	2140	W	250-500kb	0.00404419544284304
2140 R2	restore_2km	rep001	2140	E	250-500kb	0.00925257219332566
2140 R2	restore_2km	rep001	2140	SE	250-500kb	0.00904128529946586
2140 R2	restore_2km	rep002	2140	NW	250-500kb	0.006072231468192
2140 R2	restore_2km	rep002	2140	NE	250-500kb	0.00517920817346138
2140 R2	restore_2km	rep002	2140	W	250-500kb	0.0066997057937755
2140 R2	restore_2km	rep002	2140	E	250-500kb	0.00444109726737821
2140 R2	restore_2km	rep002	2140	SE	250-500kb	0.00761033869689105
2140 R2	restore_2km	rep003	2140	NW	250-500kb	0.00604361811419507
2140 R2	restore_2km	rep003	2140	NE	250-500kb	0.00766718320484956
2140 R2	restore_2km	rep003	2140	W	250-500kb	0.00505219380496095
2140 R2	restore_2km	rep003	2140	E	250-500kb	0.0132139748447299
2140 R2	restore_2km	rep003	2140	SE	250-500kb	0.0129730183819107
2140 R2	restore_2km	rep004	2140	NW	250-500kb	0.00415434394356785
2140 R2	restore_2km	rep004	2140	NE	250-500kb	0.00467822656497873
2140 R2	restore_2km	rep004	2140	W	250-500kb	0.00443272502065817
2140 R2	restore_2km	rep004	2140	E	250-500kb	0.00446572592776347
2140 R2	restore_2km	rep004	2140	SE	250-500kb	0.00586148430276048
2140 R2	restore_2km	rep005	2140	NW	250-500kb	0.00294680617381146
