scenario	year	region1	region2	pair	n_reps	mean_fst	sd_fst	min_fst	max_fst
status_quo	2140	NE	NEW02	NE-NEW02	5	0.05075952613214452	0.006842037567611341	0.04191160263050168	0.060364928655543076
status_quo	2140	NE	SE	NE-SE	5	0.012026601485868824	0.0016542773400373115	0.009793882419351994	0.014376096582305318
status_quo	2140	NE	W	NE-W	5	0.00958740842105923	0.00192747791484668	0.007457437763156869	0.012732672915738718
status_quo	2140	NEW01	NEW02	NEW01-NEW02	5	0.7922981663800375	0.002280569374341453	0.7901044608556304	0.794983662261263
status_quo	2140	NW	E	NW-E	5	0.012895972706203665	0.001320950653531191	0.011391686281815187	0.014830260067191382
status_quo	2140	NW	NE	NW-NE	5	0.013740597721437731	0.001375684222750341	0.011616579382425414	0.014851255786497404
status_quo	2140	NW	NEW01	NW-NEW01	5	0.7841565115946392	0.0008075955876816677	0.7835782636217136	0.78538106441606
status_quo	2140	NW	NEW02	NW-NEW02	5	0.04322296104674059	0.008444160636767116	0.03351925519187549	0.053371605402164644
status_quo	2140	NW	SE	NW-SE	5	0.015061456767564065	0.0009543521934572054	0.014074207709645665	0.016320197847435165
status_quo	2140	NW	W	NW-W	5	0.01061142630903637	0.002072356524040939	0.00710000647074352	0.012122515923722169
status_quo	2140	SE	NEW01	SE-NEW01	5	0.7852084812088056	0.000800650832036876	0.7840195492347152	0.7860584553452062
status_quo	2140	SE	NEW02	SE-NEW02	5	0.05162402306385145	0.006764151318645715	0.04398313558044022	0.06139502588850502
status_quo	2140	W	E	W-E	5	0.005494674608800107	0.00122573822160328	0.004041001261907919	0.007232474817444626
status_quo	2140	W	NEW01	W-NEW01	5	0.7836517428784351	0.0012195806123173013	0.782415940003339	0.7852340310348149
status_quo	2140	W	NEW02	W-NEW02	5	0.04722105422642057	0.005282171742526313	0.042487697723914766	0.05561782756434332
status_quo	2140	W	SE	W-SE	5	0.006070881608586114	0.0008607059719720353	0.005163655777107152	0.007101518584663562
