comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
2020_to_2140	restore_4km	rep002	W-NEW02	0.03271538991653768	0.052489273732873695	0.01977388381633602
2020_to_2140	restore_6km	rep002	W-NEW02	0.03271538991653768	0.042075843706650115	0.009360453790112438
2140_restoration_vs_statusquo	restore_2km	rep002	W-NEW02	0.04426391177760226	nan	nan
2140_restoration_vs_statusquo	restore_4km	rep002	W-NEW02	0.04426391177760226	0.052489273732873695	0.008225361955271432
2140_restoration_vs_statusquo	restore_6km	rep002	W-NEW02	0.04426391177760226	0.042075843706650115	-0.0021880680709521483
1900_to_2020	shared_history	rep002	E-SE	0.00338340523792495	0.008404357937519674	0.005020952699594725
2020_to_2140	status_quo	rep002	E-SE	0.008404357937519674	0.009494274402557897	0.001089916465038223
2020_to_2140	restore_2km	rep002	E-SE	0.008404357937519674	0.005203617691172406	-0.0032007402463472678
2020_to_2140	restore_4km	rep002	E-SE	0.008404357937519674	0.004397472450146015	-0.00400688548737366
2020_to_2140	restore_6km	rep002	E-SE	0.008404357937519674	0.0035786373886131802	-0.0048257205489064935
2140_restoration_vs_statusquo	restore_2km	rep002	E-SE	0.009494274402557897	0.005203617691172406	-0.004290656711385491
2140_restoration_vs_statusquo	restore_4km	rep002	E-SE	0.009494274402557897	0.004397472450146015	-0.005096801952411883
2140_restoration_vs_statusquo	restore_6km	rep002	E-SE	0.009494274402557897	0.0035786373886131802	-0.0059156370139447165
1900_to_2020	shared_history	rep002	E-NEW01	0.7811530831131955	0.7816089657688666	0.00045588265567109154
2020_to_2140	status_quo	rep002	E-NEW01	0.7816089657688666	0.7837898276698069	0.0021808619009402452
2020_to_2140	restore_2km	rep002	E-NEW01	0.7816089657688666	0.7832620732421137	0.0016531074732470952
2020_to_2140	restore_4km	rep002	E-NEW01	0.7816089657688666	0.7824757567802532	0.0008667910113865362
2020_to_2140	restore_6km	rep002	E-NEW01	0.7816089657688666	0.7825338023061895	0.0009248365373228928
2140_restoration_vs_statusquo	restore_2km	rep002	E-NEW01	0.7837898276698069	0.7832620732421137	-0.0005277544276931501
2140_restoration_vs_statusquo	restore_4km	rep002	E-NEW01	0.7837898276698069	0.7824757567802532	-0.001314070889553709
2140_restoration_vs_statusquo	restore_6km	rep002	E-NEW01	0.7837898276698069	0.7825338023061895	-0.0012560253636173524
1900_to_2020	shared_history	rep002	E-NEW02	0.022137179073469147	0.0324880738849729	0.010350894811503752
2020_to_2140	status_quo	rep002	E-NEW02	0.0324880738849729	0.04697149789102644	0.014483424006053541
2020_to_2140	restore_2km	rep002	E-NEW02	0.0324880738849729	nan	nan
2020_to_2140	restore_4km	rep002	E-NEW02	0.0324880738849729	0.05499517044381703	0.022507096558844128
2020_to_2140	restore_6km	rep002	E-NEW02	0.0324880738849729	0.043028914876780934	0.010540840991808034
2140_restoration_vs_statusquo	restore_2km	rep002	E-NEW02	0.04697149789102644	nan	nan
2140_restoration_vs_statusquo	restore_4km	rep002	E-NEW02	0.04697149789102644	0.05499517044381703	0.008023672552790587
