comparison	scenario	rep	region	start_pi	end_pi	delta_pi	retention	percent_change
2140_restoration_vs_statusquo	restore_2km	rep001	NEW01	3.731702014347518e-05	3.818751696481944e-05	8.704968213442611e-07	1.0233270721509222	2.3327072150922223
2140_restoration_vs_statusquo	restore_4km	rep001	NEW01	3.731702014347518e-05	3.785711749070962e-05	5.400973472344383e-07	1.0144732174529985	1.4473217452998455
2140_restoration_vs_statusquo	restore_6km	rep001	NEW01	3.731702014347518e-05	3.8525374388744203e-05	1.2083542452690228e-06	1.032380780689969	3.238078068996897
1900_to_2020	shared_history	rep001	NEW02	0.0002188876080760733	0.00021503016980208405	-3.857438273989245e-06	0.9823770824310502	-1.7622917568949847
2020_to_2140	status_quo	rep001	NEW02	0.00021503016980208405	0.0002105580403287712	-4.472129473312843e-06	0.979202316226467	-2.079768377353297
2020_to_2140	restore_2km	rep001	NEW02	0.00021503016980208405	0.00020957066795125067	-5.459501850833381e-06	0.9746105309042988	-2.5389469095701167
2020_to_2140	restore_4km	rep001	NEW02	0.00021503016980208405	0.0002075812844478056	-7.448885354278457e-06	0.9653588826110564	-3.46411173889436
2020_to_2140	restore_6km	rep001	NEW02	0.00021503016980208405	0.00021064054062038673	-4.3896291816973175e-06	0.979585984674906	-2.0414015325094015
2140_restoration_vs_statusquo	restore_2km	rep001	NEW02	0.0002105580403287712	0.00020957066795125067	-9.873723775205383e-07	0.995310687846549	-0.46893121534510307
2140_restoration_vs_statusquo	restore_4km	rep001	NEW02	0.0002105580403287712	0.0002075812844478056	-2.9767558809656142e-06	0.9858625399613445	-1.4137460038655458
2140_restoration_vs_statusquo	restore_6km	rep001	NEW02	0.0002105580403287712	0.00021064054062038673	8.250029161552524e-08	1.0003918173416066	0.03918173416066484
1900_to_2020	shared_history	rep002	NW	0.00021793176076989078	0.000219245618602022	1.313857832131222e-06	1.0060287579354645	0.6028757935464535
2020_to_2140	status_quo	rep002	NW	0.000219245618602022	0.00021787817348353636	-1.367445118485638e-06	0.993762953498433	-0.6237046501566978
2020_to_2140	restore_2km	rep002	NW	0.000219245618602022	0.00021753195389667736	-1.713664705344642e-06	0.9921838132215755	-0.781618677842455
2020_to_2140	restore_4km	rep002	NW	0.000219245618602022	0.00021676096392077854	-2.4846546812434605e-06	0.9886672550307442	-1.1332744969255848
