sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence	in_study_region	clc_index_extracted	hilda_code	hilda_class	clc_code_extracted	clc_name_extracted
1082	Biskops-Arnö	T	11	6616906.22641432	640564.690818762	Uppsala län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
853	Torsked	T	9	6616846.96615139	422667.611808834	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	44	forest	243	Land principally occupied by agriculture with significant areas of natural vegetation
915	Knutserud	T	2	6616771.81749814	407188.523794245	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	44	forest	243	Land principally occupied by agriculture with significant areas of natural vegetation
349	Furnäs	P	10	6616750.71366051	559138.626284461	Västmanlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
917	Mickelstorp	T	12	6616411.77771887	405855.516121432	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
916	Råbäcksängen	T	2	6616271.18940187	406213.060075232	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
852	Lyckan, skogsäng	T	2	6616196.88831394	419346.993416709	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2802	Bergs klätt	T	21	6615854.0149373	357490.9571893	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
854	Torsberget	T	1	6614852.33039146	418922.527227198	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
4263	Östmarken	T	15	6613604.17531495	391630.334941106	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2805	Genbäcken	T	12	6613433.20849464	419271.619016137	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
