sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year	lat	lon	site_category	county	corine_1
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2018/06/22	2018	25	173	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2020/06/24	2020	26	176	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2020/06/27	2020	26	179	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2021/07/01	2021	26	182	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	2	392.7	5.09294626941686	2022/07/09	2022	27	190	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2023/06/17	2023	24	168	6576735.94218384	476763.883420969		Värmlands län	2.0
367	Utterbäcksvägen 9	VGotSve	1	392.7	2.54647313470843	2023/06/29	2023	26	180	6576735.94218384	476763.883420969		Värmlands län	2.0
368	Karintorp	OGot	1	392.7	2.54647313470843	2012/07/11	2012	28	193	6360201.89271996	524651.743629477		Jönköpings län	24.0
368	Karintorp	OGot	3	392.7	7.63941940412529	2013/06/24	2013	26	175	6360201.89271996	524651.743629477		Jönköpings län	24.0
368	Karintorp	OGot	1	392.7	2.54647313470843	2013/07/06	2013	27	187	6360201.89271996	524651.743629477		Jönköpings län	24.0
368	Karintorp	OGot	2	392.7	5.09294626941686	2014/06/08	2014	23	159	6360201.89271996	524651.743629477		Jönköpings län	24.0
368	Karintorp	OGot	1	392.7	2.54647313470843	2014/07/05	2014	27	186	6360201.89271996	524651.743629477		Jönköpings län	24.0
368	Karintorp	OGot	2	392.7	5.09294626941686	2020/06/18	2020	25	170	6360201.89271996	524651.743629477		Jönköpings län	24.0
