year	suitability	cells	area_km2
2016	0.1	1448	1776.4925252276084
2016	0.3	35503	43557.19207400262
2016	0.5	7783	9548.647323098396
2016	1	477	585.2119713629622
2017	0	48977	60087.896690657864
2017	0.1	1450	1778.9462441851053
2017	0.3	35472	43519.15943016142
2017	0.5	7729	9482.396911245985
2017	1	552	677.2264322690884
2018	0	48983	60095.25784753035
2018	0.1	1454	1783.8536821000987
2018	0.3	35412	43445.54786143651
2018	0.5	7682	9424.734515744813
2018	1	649	796.2318017076782
2019	0	48983	60095.25784753035
2019	0.1	1457	1787.5342605363437
2019	0.3	35429	43466.40447257524
2019	0.5	7671	9411.239061478582
2019	1	640	785.190066398943
