sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
39	1000	312	0.7083333333333334	0.2916666666666667	0	0	0	312	1
39	2000	1247	0.6936647955092221	0.268644747393745	0.03769045709703288	0	0	1247	1
39	5000	7754	0.5020634511220016	0.4224916172298169	0.05352076347691514	0.021924168171266443	0	7818	0.99181376311077
39	10000	24112	0.46897810218978103	0.3693181818181818	0.053998009289980095	0.0863885202388852	0.021317186463171864	31308	0.7701545930752524
40	500	70	0.6	0	0.4	0	0	79	0.8860759493670886
40	1000	259	0.3938223938223938	0	0.5752895752895753	0.03088803088803089	0	316	0.819620253164557
40	2000	820	0.7121951219512195	0	0.25609756097560976	0.03170731707317073	0	1251	0.6554756195043965
40	5000	4153	0.6843245846376114	0.019022393450517698	0.05056585600770527	0.08981459186130508	0.15627257404286057	7832	0.5302604698672114
41	500	44	0	1	0	0	0	81	0.5432098765432098
42	500	80	0.4375	0.5625	0	0	0	80	1
42	1000	317	0.42902208201892744	0.5709779179810726	0	0	0	317	1
42	2000	1256	0.39888535031847133	0.5843949044585988	0	0.016719745222929936	0	1256	1
42	5000	7827	0.3217069119713811	0.6358758144883097	0.010348792640858567	0.03206848089945062	0	7827	1
42	10000	27895	0.42301487721813946	0.45244667503136765	0.06402581107725398	0.04312600824520523	0.017386628428033696	31296	0.8913279652351738
