sit_uid	sit_name	segment_number	seg_uid	reg_code	geo_uid	sum	count_per_1000m	date	year	week	day_of_year	segment_length	corine_1
61	Svalsjö	6	167	OGot	2544	2	9.08001435768889	2012-07-24	2012	30	206	220.263968889698	24.0
61	Svalsjö	6	167	OGot	2544	1	4.54000717884445	2014-07-17	2014	29	198	220.263968889698	24.0
61	Svalsjö	7	166	OGot	2545	1	3.79862580136597	2010-06-24	2010	25	175	263.253095274719	12.0
61	Svalsjö	7	166	OGot	2545	2	7.59725160273193	2011-06-26	2011	25	177	263.253095274719	12.0
61	Svalsjö	7	166	OGot	2545	1	3.79862580136597	2012-07-24	2012	30	206	263.253095274719	12.0
61	Svalsjö	7	166	OGot	2545	3	11.3958774040979	2013-06-20	2013	25	171	263.253095274719	12.0
61	Svalsjö	8	165	OGot	2538	1	1.40004256926451	2011-07-09	2011	27	190	714.263995933589	12.0
63	Trunelän, Maglehem	1	179	SGot	675	1	3.39989621204137	2010-07-14	2010	28	195	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	2	6.79979242408274	2011-06-27	2011	26	178	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	1	3.39989621204137	2012-07-24	2012	30	206	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	1	3.39989621204137	2012-08-03	2012	31	216	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	1	3.39989621204137	2013-07-07	2013	27	188	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	4	13.5995848481655	2014-07-04	2014	27	185	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	2	6.79979242408274	2015-06-29	2015	27	180	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	3	10.1996886361241	2016-07-01	2016	26	183	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	1	3.39989621204137	2016-07-07	2016	27	189	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	4	13.5995848481655	2017-06-27	2017	26	178	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	3	10.1996886361241	2017-07-06	2017	27	187	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	4	13.5995848481655	2018-06-08	2018	23	159	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	1	3.39989621204137	2022-07-12	2022	28	193	294.126625530012	18.0
63	Trunelän, Maglehem	1	179	SGot	675	4	13.5995848481655	2023-06-08	2023	23	159	294.126625530012	18.0
63	Trunelän, Maglehem	2	178	SGot	676	1	5.1521088571276	2010-07-03	2010	26	184	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	2	10.3042177142552	2010-07-14	2010	28	195	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	1	5.1521088571276	2013-06-07	2013	23	158	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	2	10.3042177142552	2013-07-07	2013	27	188	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	1	5.1521088571276	2013-07-15	2013	29	196	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	1	5.1521088571276	2015-07-07	2015	28	188	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	4	20.6084354285104	2017-06-27	2017	26	178	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	1	5.1521088571276	2017-07-06	2017	27	187	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	1	5.1521088571276	2022-07-12	2022	28	193	194.095277823287	23.0
63	Trunelän, Maglehem	2	178	SGot	676	4	20.6084354285104	2023-06-08	2023	23	159	194.095277823287	23.0
63	Trunelän, Maglehem	3	177	SGot	677	3	16.2244916592852	2010-07-03	2010	26	184	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2013-06-07	2013	23	158	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	1	5.4081638864284	2013-07-07	2013	27	188	184.905639141126	18.0
63	Trunelän, Maglehem	3	177	SGot	677	2	10.8163277728568	2014-07-04	2014	27	185	184.905639141126	18.0
