sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect	lat	lon	site_category	county	corine_1
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2018/07/07	2018	27	188	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2019/06/24	2019	26	175	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
148	Snäcktorp- Mellingeholm	OSve	1	0.637664158530233	2019/07/20	2019	29	201	1568.22362778696	6631073.92459143	717932.164734007	True	Stockholms län	2.0
149	Bullandö	OSve	1	1.07363277968563	2011/06/28	2011	26	179	931.417165087682	6580696.25768885	708157.055206709	True	Stockholms län	
150	Upnäs tomtområde	OSve	2	1.94945279227013	2011/07/12	2011	28	193	1025.92892114664	6625258.68506357	723776.270331896	True	Stockholms län	2.0
150	Upnäs tomtområde	OSve	3	2.92417918840519	2012/07/04	2012	27	186	1025.92892114664	6625258.68506357	723776.270331896	True	Stockholms län	2.0
150	Upnäs tomtområde	OSve	3	2.92417918840519	2013/06/29	2013	26	180	1025.92892114664	6625258.68506357	723776.270331896	True	Stockholms län	2.0
150	Upnäs tomtområde	OSve	1	0.974726396135064	2014/07/04	2014	27	185	1025.92892114664	6625258.68506357	723776.270331896	True	Stockholms län	2.0
151	Röcklinge 2:7	OSve	2	4.47079712117881	2012/07/26	2012	30	208	447.347518975019	6642449.65280136	600959.732616286	True	Uppsala län	24.0
153	Skogsmuren, Ramnäs	OSve	1	0.920182535248995	2011/06/13	2011	24	164	1086.74090378102	6628338.31685351	560863.229881566	True	Västmanlands län	24.0
153	Skogsmuren, Ramnäs	OSve	1	0.920182535248995	2013/06/15	2013	24	166	1086.74090378102	6628338.31685351	560863.229881566	True	Västmanlands län	24.0
153	Skogsmuren, Ramnäs	OSve	3	2.76054760574698	2013/07/11	2013	28	192	1086.74090378102	6628338.31685351	560863.229881566	True	Västmanlands län	24.0
153	Skogsmuren, Ramnäs	OSve	3	2.76054760574698	2014/06/14	2014	24	165	1086.74090378102	6628338.31685351	560863.229881566	True	Västmanlands län	24.0
153	Skogsmuren, Ramnäs	OSve	3	2.76054760574698	2014/07/06	2014	27	187	1086.74090378102	6628338.31685351	560863.229881566	True	Västmanlands län	24.0
154	Hemdalsvägen	OSve	1	0.70218769533197	2011/06/28	2011	26	179	1424.12065413256	6593020.36970151	521760.387942324	True	Örebro län	29.0
154	Hemdalsvägen	OSve	1	0.70218769533197	2011/07/06	2011	27	187	1424.12065413256	6593020.36970151	521760.387942324	True	Örebro län	29.0
154	Hemdalsvägen	OSve	1	0.70218769533197	2014/06/11	2014	24	162	1424.12065413256	6593020.36970151	521760.387942324	True	Örebro län	29.0
154	Hemdalsvägen	OSve	1	0.70218769533197	2014/07/10	2014	28	191	1424.12065413256	6593020.36970151	521760.387942324	True	Örebro län	29.0
154	Hemdalsvägen	OSve	1	0.70218769533197	2016/06/28	2016	26	180	1424.12065413256	6593020.36970151	521760.387942324	True	Örebro län	29.0
154	Hemdalsvägen	OSve	1	0.70218769533197	2020/06/28	2020	26	180	1424.12065413256	6593020.36970151	521760.387942324	True	Örebro län	29.0
158	Erlanderslingan	VGotSve	2	0.926616610726224	2013/07/01	2013	27	182	2158.38997148187	6627012.33976162	413289.178694102	True	Värmlands län	21.0
