year	code	cells	hilda_label	model_class	suitability	area_km2
1924	22	9201	Cropland	Cropland	0.5	11288.334063963553
1924	33	732	Pasture / rangeland	Grassland	1	898.061138443791
1924	44	33109	Forest	Forest	0.3	40620.090481879066
1924	55	1402	Unmanaged grass / shrubland	Grassland	1	1720.0569892051844
1924	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1924	77	1534	Water	Unsuitable	0	1882.0024403999664
1925	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1925	11	839	Urban	Urban	0.1	1029.3351026698645
1925	22	9196	Cropland	Cropland	0.5	11282.199766569813
1925	33	717	Pasture / rangeland	Grassland	1	879.6582462625659
1925	44	33151	Forest	Forest	0.3	40671.6185799865
1925	55	1378	Unmanaged grass / shrubland	Grassland	1	1690.612361715224
1925	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1925	77	1534	Water	Unsuitable	0	1882.0024403999664
1926	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1926	11	840	Urban	Urban	0.1	1030.5619621486128
1926	22	9188	Cropland	Cropland	0.5	11272.384890739826
1926	33	723	Pasture / rangeland	Grassland	1	887.0194031350559
1926	44	33118	Forest	Forest	0.3	40631.132217187806
1926	55	1412	Unmanaged grass / shrubland	Grassland	1	1732.325583992668
1926	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1926	77	1534	Water	Unsuitable	0	1882.0024403999664
1927	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1927	11	842	Urban	Urban	0.1	1033.0156811061095
1927	22	9190	Cropland	Cropland	0.5	11274.838609697323
1927	33	713	Pasture / rangeland	Grassland	1	874.7508083475724
1927	44	33127	Forest	Forest	0.3	40642.17395249654
1927	55	1409	Unmanaged grass / shrubland	Grassland	1	1728.645005556423
1927	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1927	77	1534	Water	Unsuitable	0	1882.0024403999664
1928	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1928	11	848	Urban	Urban	0.1	1040.3768379785995
1928	22	9172	Cropland	Cropland	0.5	11252.755139079853
1928	33	692	Pasture / rangeland	Grassland	1	848.9867592938572
1928	44	33157	Forest	Forest	0.3	40678.979736858986
1928	55	1412	Unmanaged grass / shrubland	Grassland	1	1732.325583992668
1928	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1928	77	1534	Water	Unsuitable	0	1882.0024403999664
1929	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1929	11	848	Urban	Urban	0.1	1040.3768379785995
1929	22	9172	Cropland	Cropland	0.5	11252.755139079853
1929	33	683	Pasture / rangeland	Grassland	1	837.945023985122
1929	44	33218	Forest	Forest	0.3	40753.818165062636
1929	55	1360	Unmanaged grass / shrubland	Grassland	1	1668.5288910977538
1929	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1929	77	1534	Water	Unsuitable	0	1882.0024403999664
1930	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1930	11	852	Urban	Urban	0.1	1045.2842758935928
1930	22	9173	Cropland	Cropland	0.5	11253.9819985586
1930	33	668	Pasture / rangeland	Grassland	1	819.5421318038967
1930	44	33263	Forest	Forest	0.3	40809.02684160631
