landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	simulation_years	historical_pi	modern_pi	retention	retention_100yr	empirical_hist_pi	empirical_modern_pi	empirical_retention	empirical_retention_100yr	error_retention_100yr_pp
skane_only	Kexp1p3_D120	rep002	W_Skane	1951	2020	69	0.000231622699014361	0.000229633430559373	0.991411599711716	0.987577094691575	0.0023	0.002252	0.979130434782609	0.970320197986051	1.7256896705524
skane_only	Kexp1p3_D120	rep002	E_Skane	1956	2020	64	0.000230908084905335	0.000226696208151452	0.981759509392626	0.971645837800275	0.002389	0.002345	0.98158225198828	0.971805906485717	-0.016006868544205
skane_only	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.000230908084905335	0.000226047215451111	0.978948898839046	0.967303000009471	0.002389	0.002091	0.875261615738803	0.817203326615432	15.0099673394038
skane_only	Kexp1p3_D120	rep003	W_Skane	1951	2020	69	0.000230827571849199	0.000229282160583608	0.993304910443713	0.990311582697516	0.0023	0.002252	0.979130434782609	0.970320197986051	1.99913847114643
skane_only	Kexp1p3_D120	rep003	E_Skane	1956	2020	64	0.000228816132372435	0.000228812001679294	0.999981947544093	0.999971793180859	0.002389	0.002345	0.98158225198828	0.971805906485717	2.81658866951416
skane_only	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.000228816132372435	0.000225559924919134	0.985769327452836	0.97785375433649	0.002389	0.002091	0.875261615738803	0.817203326615432	16.0650427721058
skane_only	Kexp1p3_D120	rep004	W_Skane	1951	2020	69	0.000231186390819513	0.000231338057589345	1.00065603675586	1.00095091800686	0.0023	0.002252	0.979130434782609	0.970320197986051	3.0630720020812
skane_only	Kexp1p3_D120	rep004	E_Skane	1956	2020	64	0.000231288100337475	0.000228827797618995	0.989362605707383	0.983428874801461	0.002389	0.002345	0.98158225198828	0.971805906485717	1.16229683157441
skane_only	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.000231288100337475	0.000226278142203521	0.978338885024158	0.966361357441884	0.002389	0.002091	0.875261615738803	0.817203326615432	14.9158030826452
skane_only	Kexp1p3_D120	rep005	W_Skane	1951	2020	69	0.000231512954848067	0.000230013492282497	0.993523202334166	0.99062700995929	0.0023	0.002252	0.979130434782609	0.970320197986051	2.03068119732385
skane_only	Kexp1p3_D120	rep005	E_Skane	1956	2020	64	0.000230922131662554	0.000227781296622227	0.986398726628258	0.978829468874701	0.002389	0.002345	0.98158225198828	0.971805906485717	0.702356238898372
skane_only	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.000230922131662554	0.000228422442765977	0.98917518698368	0.983137804881547	0.002389	0.002091	0.875261615738803	0.817203326615432	16.5934478266115
skane_only	Kexp1p5_D120	rep001	W_Skane	1951	2020	69	0.000229813954802896	0.000230737299124451	1.00401779048773	1.00582813632261	0.0023	0.002252	0.979130434782609	0.970320197986051	3.55079383365609
skane_only	Kexp1p5_D120	rep001	E_Skane	1956	2020	64	0.000230201854672791	0.000227711302385928	0.989181006858508	0.983146842948861	0.002389	0.002345	0.98158225198828	0.971805906485717	1.13409364631432
skane_only	Kexp1p5_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.000230201854672791	0.000225272592878245	0.978587219457668	0.966744656904315	0.002389	0.002091	0.875261615738803	0.817203326615432	14.9541330288882
skane_only	Kexp1p5_D120	rep002	W_Skane	1951	2020	69	0.000230609272379494	0.000229737575151621	0.996220025244956	0.994526430645818	0.0023	0.002252	0.979130434782609	0.970320197986051	2.42062326597668
skane_only	Kexp1p5_D120	rep002	E_Skane	1956	2020	64	0.000229748472341697	0.000223449413727068	0.972582805228578	0.957492305207517	0.002389	0.002345	0.98158225198828	0.971805906485717	-1.43136012782001
skane_only	Kexp1p5_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.000229748472341697	0.000224502777884901	0.977167663387142	0.964554336956752	0.002389	0.002091	0.875261615738803	0.817203326615432	14.7351010341319
skane_only	Kexp1p5_D120	rep003	W_Skane	1951	2020	69	0.000231610067234037	0.000230042834811732	0.993233314764675	0.990208135205557	0.0023	0.002252	0.979130434782609	0.970320197986051	1.98879372195057
skane_only	Kexp1p5_D120	rep003	E_Skane	1956	2020	64	0.000230314112782424	0.000227501503840071	0.987787943568138	0.980984316601946	0.002389	0.002345	0.98158225198828	0.971805906485717	0.917841011622877
skane_only	Kexp1p5_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.000230314112782424	0.000227626260031137	0.988329622015713	0.981824989208703	0.002389	0.002091	0.875261615738803	0.817203326615432	16.4621662593271
skane_only	Kexp1p5_D120	rep004	W_Skane	1951	2020	69	0.000230620159018353	0.00022927292145962	0.994158196904956	0.991544740984622	0.0023	0.002252	0.979130434782609	0.970320197986051	2.12245429985704
skane_only	Kexp1p5_D120	rep004	E_Skane	1956	2020	64	0.000231124489464819	0.000228372234579153	0.988091894147438	0.981456009053564	0.002389	0.002345	0.98158225198828	0.971805906485717	0.965010256784693
skane_only	Kexp1p5_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.000231124489464819	0.000225020006181467	0.973587899328681	0.95903884694838	0.002389	0.002091	0.875261615738803	0.817203326615432	14.1835520332948
skane_only	Kexp1p5_D120	rep005	W_Skane	1951	2020	69	0.000230792410571821	0.000228989619618334	0.992188690481543	0.988699154802589	0.0023	0.002252	0.979130434782609	0.970320197986051	1.83789568165375
skane_only	Kexp1p5_D120	rep005	E_Skane	1956	2020	64	0.000229642910548248	0.000224820035299426	0.978998370830141	0.96737938149504	0.002389	0.002345	0.98158225198828	0.971805906485717	-0.442652499067731
skane_only	Kexp1p5_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.000229642910548248	0.000224501444496375	0.977611039506521	0.965238257028745	0.002389	0.002091	0.875261615738803	0.817203326615432	14.8034930413313
