landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_pi	median_pi	sd_sampling	q025_sampling	q975_sampling	min_pi	max_pi	empirical_pi	sim_empirical_ratio
no_oland	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.000226670063971152	0.000227119041000191	3.35817392519994e-06	0.000218694412308567	0.000230573053411866	0.000208432739905628	0.000231676055346654	0.002345	0.0966610080900436
no_oland	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.000226117801475292	0.000226739127687005	3.76454481837908e-06	0.000216121539802205	0.000231280159764493	0.000213920011058486	0.000231602767995962	0.002091	0.108138594679719
no_oland	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.000228253550295724	0.000228630471735402	2.76291280952477e-06	0.00022265673125978	0.000232012249740467	0.000215186648065665	0.000232491320829771	0.002252	0.101355928195259
no_oland	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231315734403511	0.000231650480068738	2.81133266810392e-06	0.000225049136393707	0.000235476501053108	0.00022179373812727	0.000236484264959949	0.0023	0.100572058436309
no_oland	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.000229292622108673	0.000230006300460493	3.65783753981093e-06	0.000223018751300385	0.00023361297426303	0.000208686848738835	0.000235327358259407	0.002389	0.0959784939760037
no_oland	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.000229284495452644	0.000229725561425264	2.5393428482737e-06	0.00022313496847867	0.000233166781537601	0.000221517928780076	0.000234175103353725	0.002345	0.0977759042441977
no_oland	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.00022789448587108	0.000228282415582341	3.21569382353603e-06	0.000219726831964459	0.000232101978701476	0.000218272457456175	0.000232762669903466	0.002091	0.108988276361109
no_oland	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.000230087155144972	0.000230494866840342	2.23921041632177e-06	0.000225617906064422	0.000233153936074142	0.000222223133739513	0.000233918124049082	0.002252	0.102170139940041
no_oland	Kexp1p2_D120	rep004	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.000210694789394731	0.000215472208359687	1.65780744663097e-05	0.000179445903939599	0.000229599834124017	0.000143308535259321	0.000229599834124017	NA	NA
no_oland	Kexp1p2_D120	rep004	1951	NSmaland_hist_1951proxy	1936	Hjelmseryd	100	0.000227372746819104	0.000227372746819104	0	0.000227372746819104	0.000227372746819104	0.000227372746819104	0.000227372746819104	NA	NA
no_oland	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231759387472637	0.000231874972484968	2.39909336588488e-06	0.000227111210024377	0.000235863928961747	0.000222135443937684	0.000237180288868547	0.0023	0.10076495107506
no_oland	Kexp1p2_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.000230783514263882	0.000231750918708018	3.58785100159464e-06	0.000221469901218687	0.000235731300556863	0.000220091850934602	0.000236876425258893	0.002389	0.0966025593402602
no_oland	Kexp1p2_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.000229272534703411	0.000229947315101209	2.59735225738918e-06	0.0002232406398735	0.000232832871738709	0.000221769762230092	0.000233217161915005	0.002345	0.0977708037114761
no_oland	Kexp1p2_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.000227215777606895	0.000227587714387322	3.03124741787368e-06	0.000220453491928231	0.000231377433703413	0.000216465180398905	0.000231881435209707	0.002091	0.108663690868912
no_oland	Kexp1p2_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.000229690887745267	0.000230204308323986	2.74410739936394e-06	0.000224448134481752	0.000233799379727532	0.000218898581766274	0.000234916904183046	0.002252	0.101994177506779
