landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
no_oland	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0226971758361362	0.0145720256446189	0.0235484520615751	0.00207928071251944	0.10191196213286	0	0.112842147703594	0.1537142857
no_oland	Kexp1p2_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.021308414497901	0.0145188690349744	0.0209762177490669	0.00311283900174722	0.0874217413147237	0.00105038512076669	0.0980728518718169	0.061375
no_oland	Kexp1p2_D120	rep002	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.0458538122396187	0.0458538122396187	0	0.0458538122396187	0.0458538122396187	0.0458538122396187	0.0458538122396187	NA
no_oland	Kexp1p2_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.0163692621509526	0.011356350968921	0.0225442539220728	0.00170577192812016	0.063971199884472	0	0.197922288299788	0.0082
no_oland	Kexp1p2_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.0231841082878063	0.014144851437555	0.0248812870707577	0.00344957973232466	0.0867084870978306	0.00152391417873812	0.138405912861801	0.0084
no_oland	Kexp1p2_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0270418369329088	0.0138291787414762	0.0350480962489126	0.00250817288291782	0.106666187431724	0	0.183562839289688	0.016125
no_oland	Kexp1p2_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.0648512415852999	0.0371353891902748	0.060419128776866	0.00542758507210186	0.189655033146888	0.00199655248189746	0.208706903432063	0.1537142857
no_oland	Kexp1p2_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0456431212205775	0.0207202582907839	0.0536483193563584	0.00352636523660325	0.186475729245414	0.00256310316265881	0.265706975290096	0.061375
no_oland	Kexp1p2_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.0165916037159967	0.00935910787074346	0.0346618889194779	0.00257209622619301	0.122743707140977	0.00154340638054036	0.213271245454079	0.0082
no_oland	Kexp1p2_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0198634521164559	0.0161131144762963	0.0150218526080914	0.00198704842872142	0.0571697503753436	0	0.0708682639632522	0.0084
no_oland	Kexp1p2_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.023378121173319	0.0180962355414114	0.022579601788494	0.00297771676307146	0.0978062980135567	0	0.116778199351303	0.016125
no_oland	Kexp1p2_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0269167639819527	0.0140921100461921	0.0260100385211046	0.00236026303714757	0.0904735032705366	0.00121702673414726	0.118103433703563	0.1537142857
no_oland	Kexp1p2_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0136707738063234	0.0116662364333837	0.00791215134889803	0.00353559468956809	0.0293261578698422	0.00130831203988474	0.0396079836215922	0.061375
no_oland	Kexp1p2_D120	rep004	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.19810556888349	0.19724374550732	0.0803417128227567	0.0308177185250653	0.345963925447097	0.0308177185250653	0.345963925447097	NA
no_oland	Kexp1p2_D120	rep004	1951	NSmaland_hist_1951proxy	1936	Hjelmseryd	100	0.037798154548851	0.037798154548851	0	0.037798154548851	0.037798154548851	0.037798154548851	0.037798154548851	NA
no_oland	Kexp1p2_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0146985184945306	0.0122901069741745	0.0106420784474228	0	0.0418711367130042	0	0.0461811476320461	0.0082
