landscape	model	rep	simulation_year	target	target_region	locality	empirical_population	empirical_year	match_type	model_x	model_y	radius	total_snapshot_N	available	required	enough	nearest_distance	females_in_pool	males_in_pool	source_file
no_oland	Kexp1p2_D120	rep001	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	25053	142	8	TRUE	0.187981994576786	67	75	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep001_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep002	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	25741	150	8	TRUE	0.171468757844369	78	72	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep002_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep003	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	27833	126	8	TRUE	0.279403076293279	62	64	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep003_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep004	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	26503	162	8	TRUE	0.148117136379542	72	90	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep004_year2020_positions.tsv
no_oland	Kexp1p2_D120	rep005	2020	WSkane_mod	WSkane	Silvåkra	WSkane2021	2021	nearest	99.0710858812329	52.0426413302852	4	26865	138	8	TRUE	0.33655635536919	64	74	sampling/no_oland/Kexp1p2_D120/Kexp1p2_D120_rep005_year2020_positions.tsv
no_oland	Kexp1p3_D120	rep001	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	32467	163	5	TRUE	0.3275159239722	83	80	sampling/no_oland/Kexp1p3_D120/Kexp1p3_D120_rep001_year1956_positions.tsv
no_oland	Kexp1p3_D120	rep002	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	31095	179	5	TRUE	0.154924750531697	94	85	sampling/no_oland/Kexp1p3_D120/Kexp1p3_D120_rep002_year1956_positions.tsv
no_oland	Kexp1p3_D120	rep003	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	32445	145	5	TRUE	0.249613367238554	76	69	sampling/no_oland/Kexp1p3_D120/Kexp1p3_D120_rep003_year1956_positions.tsv
no_oland	Kexp1p3_D120	rep004	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	33669	125	5	TRUE	0.189022305090707	67	58	sampling/no_oland/Kexp1p3_D120/Kexp1p3_D120_rep004_year1956_positions.tsv
no_oland	Kexp1p3_D120	rep005	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	31547	160	5	TRUE	0.167501104968607	82	78	sampling/no_oland/Kexp1p3_D120/Kexp1p3_D120_rep005_year1956_positions.tsv
