sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
695	Sjöholms skola	P	2	6540525.37902945	565802.790588557	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
2808	Sörön	T	597	6540210.175868	443385.957841662	Västra Götalands län	Biogeografisk uppföljning av fjärilar, LU	231.0	Pastures	Pasture/Rangeland	0
3574	Andravägen 35, Ösmo	P	369	6540106.01000915	662890.571377847	Södermanlands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
700	Oppeby 3:39	P	674	6539851.52112649	631022.773638121	Södermanlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
1005	Baldersnäs 1677	T	15	6538943.04105447	343089.479359935	Västra Götalands län	Länsstyrelsen i Västra Götalands län	211.0	Non-irrigated arable land	Cropland	0
2812	Älvstorp	T	80	6538058.07572946	446865.462310793	Västra Götalands län	Biogeografisk uppföljning av fjärilar, LU	211.0	Non-irrigated arable land	Cropland	0
3302	Lånestaheden	T	370	6537375.22230306	643223.166484884	Södermanlands län	Svensk Dagfjärilsövervakning, LU	311.0	Broad-leaved forest	Forest	0
129	Ragnerud	T	1252	6536958.53003112	350911.264899407	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3734	Stora Vika A	T	105	6536059.98103954	661171.686993325	Södermanlands län	Biogeografisk uppföljning av fjärilar, LU	312.0	Coniferous forest	Forest	0
4266	Tisenö	P	36	6534610.56206611	553157.835215273	Östergötlands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
353	Björkbacken	P	397	6534410.51135089	618572.118030818	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3605	Mellanvik, Sättersta	P	9	6534138.83562967	630202.858822856	Södermanlands län	Artportalen, SLU	312.0	Coniferous forest	Forest	0
617	Grönsta	P	5	6533358.1852364	663636.842479191	Södermanlands län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
186	Brostugan Ludgo	T	679	6533193.84134783	623303.74010812	Södermanlands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
3172	Ramnefjällsvägen 33	P	10	6532214.57429213	272158.746308699	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	142.0	Sport and leisure facilities	Urban	0
3746	Vårdkasberget	T	65	6530032.18746733	642602.841505388	Södermanlands län	Biogeografisk uppföljning av fjärilar, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
2935	Trosaskogen	T	30	6529766.61917719	643380.889875349	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
130	Tollesbyn	P	30	6529672.39353513	362186.288598033	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
116	Ekbacka	P	166	6529285.97045463	540615.876808307	Östergötlands län	Svensk Dagfjärilsövervakning, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
3135	Trollemyr, Naverstads-Amunderöd	P	153	6528457.41706438	298885.945598019	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3147	Lersik Gård 1	P	6	6528403.03676019	303741.754862049	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
360	Kasen, Känsbyn	P	2470	6527237.31622656	354695.562058574	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3688	Grönsö	T	358	6526352.54382678	642738.166143885	Södermanlands län	Biogeografisk uppföljning av fjärilar, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
4056	Bränntorp, Rejmyre	T	4	6526043.21502842	560882.840742747	Östergötlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
3752	Östra Grönsö	T	141	6525878.24827165	643203.790182562	Södermanlands län	Biogeografisk uppföljning av fjärilar, LU	312.0	Coniferous forest	Forest	0
696	Dohnaforsån	P	51	6524909.33470051	493311.73102245	Örebro län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
4086	Källstugan Hagbyberga	P	3	6524455.14865743	589058.247204215	Södermanlands län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
131	Dammen, Närke	P	378	6523880.69512132	485509.028421344	Örebro län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
481	Verkarö	P	459	6523675.03685135	665145.302505621	Stockholms län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
3756	Yttervik, Trosa	T	307	6523537.94242773	642061.214125187	Södermanlands län	Biogeografisk uppföljning av fjärilar, LU	312.0	Coniferous forest	Forest	0
137	Sandviken	P	83	6522613.98711985	654003.06579746	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
133	Askö kraftledningsgata	T	17	6522503.95343939	653334.514673408	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
135	Askö 1-7	P	592	6522136.95011705	654324.753374095	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
136	Askötorp	P	29	6521637.88348782	654726.691474223	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
2651	Torö-Örudden	P	38	6521556.75580147	662269.319296442	Stockholms län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3742	Tofsö	T	146	6521064.56329018	641740.073031081	Södermanlands län	Biogeografisk uppföljning av fjärilar, LU	523.0	Sea and ocean	Other	0
380	Brandgata södra Askö	T	31	6520957.5850258	655438.755838723	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
134	Askö skjutfält	T	117	6520812.30473907	655911.419663762	Södermanlands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
358	Silltäck	P	118	6520105.77278817	278850.720234328	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	333.0	Sparsely vegetated areas	Sparse/no vegetation	0
343	Uddeberg	P	128	6519840.77855402	503572.08258043	Örebro län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
491	Bosjö mossar	P	170	6518804.62111333	478701.767843422	Örebro län	Svensk Dagfjärilsövervakning, LU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
895	Hålstorp	P	4	6517951.12089908	584431.793740049	Södermanlands län	Svensk Dagfjärilsövervakning, LU	242.0	Complex cultivation patterns	Cropland	0
222	Torstorpamon	T	1573	6516954.77021045	488371.38144457	Örebro län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
2787	Björnås	P	175	6510739.81642724	284354.245681111	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	311.0	Broad-leaved forest	Forest	0
3129	Olshammar Hindstorp	T	152	6510468.53207726	488316.481834727	Örebro län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3798	Häljebo	T	573	6507398.08736511	301896.015517982	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
283	Rosenfors	P	222	6506490.60185968	430844.717589983	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
2643	Hallen	P	284	6505110.15548629	420449.95841323	Västra Götalands län	Artportalen, SLU	211.0	Non-irrigated arable land	Cropland	0
604	Stenvik, Oxelösund	P	29	6504600.16202218	621229.53001761	Södermanlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
2624	Högarud, Hästhagen	T	206	6504173.96029096	420731.094036839	Västra Götalands län	Artportalen, SLU	312.0	Coniferous forest	Forest	0
2645	Hjorthygget	P	19	6504162.46797706	419442.814721389	Västra Götalands län	Artportalen, SLU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
1100	Ejdervägen 8, Kolmården	P	19	6503830.7550323	577688.507214621	Östergötlands län	Svensk Dagfjärilsövervakning, LU	112.0	Discontinuous urban fabric	Urban	0
3831	Årnäs Torsmadsvägen 10	P	5	6503702.20852685	417658.161395503	Västra Götalands län	Artportalen, SLU	211.0	Non-irrigated arable land	Cropland	0
