sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect
192	Stora Karsbo	OSve	1	0.543220134626014	2023-06-09	2023	23	160	1840.874327474
192	Stora Karsbo	OSve	5	2.71610067313007	2023-06-16	2023	24	167	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2023-06-23	2023	25	174	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2023-06-29	2023	26	180	1840.874327474
192	Stora Karsbo	OSve	3	1.62966040387804	2024-06-17	2024	25	169	1840.874327474
192	Stora Karsbo	OSve	3	1.62966040387804	2024-06-24	2024	26	176	1840.874327474
192	Stora Karsbo	OSve	1	0.543220134626014	2024-07-03	2024	27	185	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2025-06-22	2025	25	173	1840.874327474
192	Stora Karsbo	OSve	2	1.08644026925203	2025-07-10	2025	28	191	1840.874327474
202	Kungsborg	SGot	10	2.93665639663501	2011-06-12	2011	23	163	3405.23324807716
202	Kungsborg	SGot	7	2.0556594776445	2011-06-26	2011	25	177	3405.23324807716
203	St Vika kalkstensbrott	OSve	20	5.435396419645	2011-06-12	2011	23	163	3679.58442326572
203	St Vika kalkstensbrott	OSve	2	0.5435396419645	2011-06-28	2011	26	179	3679.58442326572
207	Månsabola	OGot	2	0.954761236859103	2018-06-08	2018	23	159	2094.76455765992
207	Månsabola	OGot	2	0.954761236859103	2018-06-27	2018	26	178	2094.76455765992
214	Tomtahagar	OSve	2	1.48986395922364	2014-07-04	2014	27	185	1342.40444412267
214	Tomtahagar	OSve	2	1.48986395922364	2015-07-01	2015	27	182	1342.40444412267
214	Tomtahagar	OSve	2	1.48986395922364	2017-06-28	2017	26	179	1342.40444412267
214	Tomtahagar	OSve	1	0.744931979611818	2018-05-29	2018	22	149	1342.40444412267
214	Tomtahagar	OSve	1	0.744931979611818	2018-06-24	2018	25	175	1342.40444412267
214	Tomtahagar	OSve	1	0.744931979611818	2021-07-12	2021	28	193	1342.40444412267
215	Tripphult	OSve	4	3.47045407516161	2011-06-27	2011	26	178	1152.5869276382
215	Tripphult	OSve	1	0.867613518790403	2011-07-31	2011	30	212	1152.5869276382
215	Tripphult	OSve	3	2.60284055637121	2013-07-06	2013	27	187	1152.5869276382
215	Tripphult	OSve	2	1.73522703758081	2014-07-04	2014	27	185	1152.5869276382
240	Ulvered	SGot	2	0.766138911507738	2016-07-02	2016	26	184	2610.49265343286
240	Ulvered	SGot	1	0.383069455753869	2016-07-06	2016	27	188	2610.49265343286
240	Ulvered	SGot	1	0.383069455753869	2021-07-06	2021	27	187	2610.49265343286
242	Prästabonnens gård	SGot	2	6.48167079166593	2014-07-06	2014	27	187	308.562416124494
255	Wij, Lindhagen	OSve	8	2.86601107485512	2011-06-26	2011	25	177	2791.33603850586
255	Wij, Lindhagen	OSve	4	1.43300553742756	2011-07-08	2011	27	189	2791.33603850586
255	Wij, Lindhagen	OSve	1	0.35825138435689	2011-07-20	2011	29	201	2791.33603850586
255	Wij, Lindhagen	OSve	2	0.716502768713779	2014-07-05	2014	27	186	2791.33603850586
255	Wij, Lindhagen	OSve	3	1.07475415307067	2015-06-23	2015	26	174	2791.33603850586
255	Wij, Lindhagen	OSve	2	0.716502768713779	2016-06-25	2016	25	177	2791.33603850586
255	Wij, Lindhagen	OSve	2	0.716502768713779	2018-06-10	2018	23	161	2791.33603850586
255	Wij, Lindhagen	OSve	1	0.35825138435689	2024-06-27	2024	26	179	2791.33603850586
256	Liseberg	OSve	1	1.08974047662639	2018-07-20	2018	29	201	917.649680312681
269	Enebba	OSve	2	1.33195528756622	2011-06-27	2011	26	178	1501.55190543554
274	Fjäle ängar	OGot	1	0.554873083997681	2012-07-26	2012	30	208	1802.21392754416
274	Fjäle ängar	OGot	1	0.554873083997681	2013-06-25	2013	26	176	1802.21392754416
274	Fjäle ängar	OGot	1	0.554873083997681	2014-07-15	2014	29	196	1802.21392754416
274	Fjäle ängar	OGot	1	0.554873083997681	2022-07-06	2022	27	187	1802.21392754416
300	Lilla Silpinge - slinga	SGot	2	1.20831611444939	2014-07-29	2014	31	210	1655.19600051958
317	Kocktorp, Ängsö	OSve	6	2.15513841694513	2011-06-29	2011	26	180	2784.04391700505
317	Kocktorp, Ängsö	OSve	1	0.359189736157522	2012-07-14	2012	28	196	2784.04391700505
317	Kocktorp, Ängsö	OSve	5	1.79594868078761	2013-06-28	2013	26	179	2784.04391700505
319	Kättilstad Berghamra	OGot	1	0.857391050661826	2011-08-23	2011	34	235	1166.32894550053
330	Ransäter Arboga	OSve	2	0.685877099779086	2011-07-05	2011	27	186	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2011-07-19	2011	29	200	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2013-06-29	2013	26	180	2915.97430595682
330	Ransäter Arboga	OSve	4	1.37175419955817	2014-07-05	2014	27	186	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2014-07-17	2014	29	198	2915.97430595682
330	Ransäter Arboga	OSve	2	0.685877099779086	2015-07-04	2015	27	185	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2015-08-01	2015	31	213	2915.97430595682
330	Ransäter Arboga	OSve	3	1.02881564966863	2016-07-03	2016	26	185	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2016-07-17	2016	28	199	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2020-07-19	2020	29	201	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2021-06-29	2021	26	180	2915.97430595682
330	Ransäter Arboga	OSve	2	0.685877099779086	2022-07-13	2022	28	194	2915.97430595682
330	Ransäter Arboga	OSve	1	0.342938549889543	2023-07-08	2023	27	189	2915.97430595682
