sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
526	Bådagården	T	1	6380656.11980441	333503.539245507	Hallands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
4060	Rönnstigen 15	P	4	6376034.93082724	688537.917221094	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
32	Gamla Mörtforsvägen	T	5	6374558.72244457	589130.264321542	Kalmar län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
4070	Ishult Ängsbacka punkt	P	6	6371123.91392455	576013.532335989	Kalmar län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
4071	Ishult slinga	T	3	6371113.68631472	576162.612926081	Kalmar län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
773	Backgården- Bäckaholm, Revesjö	T	2	6370132.84161785	383501.008744955	Västra Götalands län	Trafikverket	312	Coniferous forest	Forest	1
704	Granstorp	P	2	6367967.22284731	518578.684373896	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
174	Buttlegårde 130	P	4	6367875.60598966	709985.053820434	Gotlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
173	Buttle Kalkbrott	P	5	6367562.87679094	709667.8017248	Gotlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
51	Bildstenar, Ängegård Buttle	T	2	6366883.55168567	710560.761253366	Gotlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
274	Fjäle ängar	T	4	6366578.54509692	717551.612931377	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
767	Grustäkt Holsljunga	P	1	6366442.26860993	376220.517495268	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
768	Skjutbana Holsljunga	P	2	6366297.39160775	375803.450679665	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
200	Tyrvalds 105	P	1	6366015.01726744	696601.774297468	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
766	Bredgården Holsljunga	P	1	6365803.02450981	377857.270724695	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
3560	Skogslund, Rödja	T	1	6365672.22607488	487412.15577056	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
3627	Smalspåret, Sävsjö	T	4	6362835.31985194	481175.199700748	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
44	Ljugarns föräldrakooperativ Bikupan	P	2	6361022.54916353	722729.996651553	Gotlands län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1
368	Karintorp	P	10	6360201.89271996	524651.743629477	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
110	Nymans Fröjel - slinga	T	13	6359584.75266785	691448.735552738	Gotlands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
56	Mallgårds Klint	T	3	6357784.6016961	698416.157507787	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
57	Russparkens vinterhage	T	10	6357439.83544775	700793.943593631	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
961	Fröjel, Frejs väg	T	4	6356630.55115858	690722.859703966	Gotlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
2676	Lairu	P	4	6352985.71008601	717275.83640736	Gotlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
50	När Graunänge	P	4	6351692.22841361	720261.854460438	Gotlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
2638	Toratorpet Mjöbäck	P	1	6351671.07862464	371433.206731068	Västra Götalands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
3115	Norrskog	T	12	6351257.20327428	496570.642046297	Jönköpings län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
55	Kodings 2:1	P	1	6348132.04262334	704596.773002611	Gotlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
45	Rone Domerarve	T	5	6346564.48356012	710106.693046148	Gotlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
219	Domerarve punkt	P	1	6346345.00762496	710233.27781764	Gotlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1
3929	Dödevi strandängar	T	56	6340886.15075546	625020.919531599	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	231	Pastures	Pasture/Rangeland	1
3936	Syd Gåsekärr	T	2	6338255.70826097	616905.831554346	Kalmar län	Biogeografisk uppföljning av fjärilar, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1
524	Gamla grustaget, Norrhult	P	6	6331946.83837268	511159.943979935	Kronobergs län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1
3766	Prästakullens koloniområde	P	3	6331217.4514901	335405.897743276	Hallands län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1
