landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_H	median_H	sd_sampling	q025_sampling	q975_sampling	min_H	max_H	empirical_H	sim_empirical_ratio
no_oland	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.231461116130499	0.232060627875119	0.00274091883866411	0.224386444986514	0.23546314432147	0.222386189480626	0.236976934072921	2.147	0.107806761122729
no_oland	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.230722282143268	0.23304388911468	0.00955915441901252	0.188191681994696	0.237917197808506	0.184974487372911	0.238441173397493	2.249	0.102588831544361
no_oland	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.231279984302941	0.2316700349336	0.00384201088973888	0.222930308044448	0.236857625683512	0.213112673758337	0.238658097741874	2.2752	0.101652595069858
no_oland	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.224379181894627	0.228906831975413	0.00982705470758976	0.206570887596054	0.235348387469644	0.192010325185603	0.236305501578409	2.224	0.100889919916649
no_oland	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.229439477159796	0.230980156491436	0.00495879270369687	0.216750399094678	0.235497384611798	0.215515073980461	0.237037805700171	1.927	0.119065634229266
no_oland	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.230807566982235	0.231886313669813	0.00500523506190283	0.217817059075058	0.237245345668685	0.212992590639126	0.238055099713149	2.147	0.107502360028987
skane_only	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.231068328121209	0.232522237715097	0.00780497604156546	0.197390048926253	0.237464497361245	0.19351717464925	0.238492822050917	2.249	0.102742698141934
skane_only	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.22778770895302	0.230482115904847	0.0111113910814903	0.185005218321699	0.236742190943109	0.182423043893763	0.236850394872032	2.2752	0.100117663920983
skane_only	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.227260337465071	0.231143864276842	0.010394502346072	0.20244399878543	0.237320559020234	0.200584001653996	0.23791952199791	2.224	0.102185403536453
skane_only	Kexp1p2_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.228206402451192	0.230445224009544	0.00723670396791508	0.209210249073196	0.236846705682502	0.2040343161622	0.240572049270189	1.927	0.118425740763462
